dataset,metric,5,10,15,20,25,30,35,40,45,50
Moon,M_baseline,0.9945481680071493,0.9951024587403166,0.9949943579327466,0.9948597255302257,0.9948451071591428,0.9944413124021236,0.9941010432092672,0.9937456524256107,0.9935597041175254,0.9934219445419445
Moon,M_altered,0.9953820375335121,0.9964148198046481,0.9962701873166329,0.9959733923103097,0.9958586228910169,0.9954576983308506,0.9949082568203508,0.9943519856431632,0.9939639664804469,0.9937421879021879
S-Curve,M_baseline,0.9921075960679178,0.9928577074211294,0.9929169036334913,0.9925145741181808,0.9923501869585043,0.9924022917382835,0.9921342284529568,0.9917443556790553,0.9916582040140699,0.9915165367965368
S-Curve,M_altered,0.9927067024128686,0.9937373750982373,0.9938004363198676,0.9936485199047295,0.9932925672594619,0.9931442190901799,0.9927313390594662,0.9923260507120528,0.9920684978274363,0.9917802644202645
Swiss Roll,M_baseline,0.9894159070598749,0.9886427304367351,0.9882193936658392,0.9878679142565499,0.9875599635202919,0.9875000802108399,0.9868891697107316,0.9867014356836865,0.9868234636871508,0.9869975991575991
Swiss Roll,M_altered,0.9900945487042002,0.9901523296283822,0.9895443015120741,0.9890951343994556,0.9887353944368446,0.9884535350063023,0.9878631914963636,0.9875108602524024,0.9873400062073246,0.9872194032994033
Iris,M_baseline,0.9724976525821596,0.9723816604708798,0.9694698162729659,0.9635006973500697,0.9632642857142857,0.9651398192450824,0.9626038291605302,0.9632364990689013,0.9647714543812105,0.9653512304250559
Iris,M_altered,0.9772300469483568,0.9750731102850062,0.9698757655293089,0.9637433751743375,0.9633214285714286,0.9652291334396598,0.9626038291605302,0.9632364990689013,0.9647714543812105,0.9653512304250559
Glass,M_baseline,0.957839578985573,0.9549259634172179,0.9444699972272512,0.9372813160508289,0.9229917162276975,0.9151695831831166,0.9063314232641452,0.8927044963316996,0.8878191723922104,0.8841985222173487
Glass,M_altered,0.9562244805371564,0.9520704348030792,0.9452006980802792,0.937313147775599,0.9229917162276975,0.9151695831831166,0.9063314232641452,0.8927044963316996,0.8878191723922104,0.8841985222173487
Mushroom,M_baseline,0.9766158367385369,0.9769635944700881,0.9769720486635644,0.9765180445663416,0.9756658096803528,0.9747866472636727,0.9740624624739882,0.9730128610188143,0.9720479314256955,0.9704291752667474
Mushroom,M_altered,0.9766204898494236,0.9769682792100138,0.977007647764226,0.9765342837163765,0.9757410301104583,0.9749771671074171,0.974263787307844,0.9731545760437897,0.9722162788159453,0.9706478220250587
Cardio,M_baseline,0.9616443210155423,0.9488911289571539,0.9404215320014198,0.9344702602301028,0.9319946115190275,0.9300369822809462,0.9259963764477136,0.9200772445931545,0.9150852053117969,0.9115938538079021
Cardio,M_altered,0.9609338666170589,0.948891277963912,0.9423023937146192,0.936147261560743,0.9324446324384715,0.9309529648618045,0.9264493428015264,0.9202548369565646,0.9153946984344965,0.9118636889863965
